class,before,after
MEASURE,tsp,quarter of a teaspoon
MEASURE,cc B,c c
MEASURE,horsepower/hour,horsepower per hour
MEASURE,revolutions / minute,revolutions per minute
MEASURE,p/hour,per hour
MEASURE,bits/second,bits per second
MEASURE,cm3/kg,c c per kilogram
MEASURE,/mole,per mole
MEASURE,mL/min,milliliter per minute
MEASURE,dH,deci henrys
MEASURE,kW/dm3,kilowatts per cubic deci meter
MEASURE,g/cm2,gram per square centimeter
MEASURE,cal M,cal
MEASURE,ng/cm2,nano gram per square centimeter
MEASURE,/Gm,per giga meter
MEASURE,km/km2,kilometer per square kilometer
MEASURE,billion mi,sil
MEASURE,NA,degrees
MEASURE,mol/m2,mole per square meter
MEASURE,kPa/m,kilopascal per meter
MEASURE,kBq/m3,kilo becquerels per cubic meter
MEASURE,hg,hecto grams
MEASURE,ounces/week,ounces per week
MEASURE,mg/m³,milligrams per cubic meter
MEASURE,mAh/cm3,milli amp hour per c c
MEASURE,/s3,per cubic second
MEASURE,km/km,kilometer per kilometer
